FEN,Next move
r4bnr/p1p2p2/1pn1k2p/1PBp4/3PN1bp/5P2/P1P1P1P1/R3KBNR w K - 3 18,c5f8
1rbqk1nr/pp2bp2/3pp1pp/2pPn1B1/1PB1P3/N4Q1P/P1P2PPR/R3K1N1 b Qk - 3 10,e5f3
rn2k1nr/p2p2pp/bqpbp3/3P1p1P/2P5/5PPN/1p1NP2R/1RBQKB2 b kq - 1 13,d6g3
rnbq1b1r/pppp1kpp/4pp1n/8/7B/1P1P1P1N/P1P1P1PP/RN1QKB1R w KQ - 4 7,e2e4
rnbqk2r/1ppp1p1p/5np1/pP2p3/8/b3P1PN/P1PP1P1P/RNBQKB1R b KQkq - 0 6,a3c1
r3kbnr/p4p2/7p/1ppBp1p1/1n2Pqb1/3PB3/P1P1NPPP/3RKQNR w Kkq - 0 17,e3f4
r1b5/1p1k2r1/p3p3/2pN3p/2BP1pn1/P1P2Q2/6PP/RR4K1 w - - 0 23,d5f4
1r1qkbnr/p3p1pp/B1p5/1p1Pnp2/PP1P3P/B4b2/R1QK1PP1/1N4NR w k - 0 16,g1f3
rnb1k1r1/3pNpp1/qp6/p6p/1B1p4/1PP5/P3PPPn/RQ1K1BNR b q - 0 16,a5b4
1rN1k2r/p4ppp/3pp2P/1pb2P2/1q6/1Pp2P2/P1PP2P1/R1Q1KBNR w Kk - 0 18,h6g7
r1q1kbnr/1p3ppp/p1n5/PPp1pb2/4PPPP/R2p3N/2PP4/1NBQKB1R w Kkq - 1 15,g4f5
3rkB1r/1bpp1p2/1n3n1p/1N2p1p1/pqPPP3/1P3B1N/P3QPPP/R2K2R1 w k - 0 19,f8b4
rnb2b2/pppk2p1/7r/3pp3/3PPP1K/P2B2pN/1PP2QP1/RNR5 w - - 0 20,h4g3
r1bqkb2/ppppnppr/n7/P3p2p/1P3P2/8/2PPPKPP/RNBQ1BNR b q - 2 7,e5f4
rnbqk1n1/pppp1ppr/3bp2p/8/Q1P1N3/8/PP1PPPPP/1RB1KBNR w Kq - 3 6,e4d6
rnb1kbnr/3pppp1/p1p4p/7Q/q7/NP2P1P1/P1PP1P1P/R1B1KBR1 w Qkq - 6 10,b3a4
1r2k2r/p1p1n3/Bp6/4pp1p/2P2PpP/4PNK1/P2N3P/R2Q1R2 b - - 7 24,g4f3
1r2k1nr/pp1bq3/2n2pp1/P2PpP1p/1bp5/2PP4/4B1PP/RNB1K1NR w KQk - 3 16,d5c6
rnb1qbnr/4pkpp/1pp2p2/p2p3P/3P1P2/P7/1PP1PKP1/RNBQ1BNR b - - 0 8,e7e5
2b1k1nr/3pp1b1/p1p2p1p/qr1Pn1p1/Pp3B2/2N1P1PN/1PPK1PBP/RQ5R b k - 2 15,b4c3
rn1qkbnr/p1pp1p1p/bp2p3/1B4p1/P3P1P1/7P/1PPP1P1R/RNBQK1N1 w Qkq - 2 7,d2d4
4kb1r/2p1pp1N/2pr3n/8/N7/PP1P1pPP/RBP2P1R/3K4 w k - 3 25,b2h8
r4bnr/4k3/p1p1b1Q1/1p2n2p/1P1p1pP1/4PPqB/PBP1R2P/RNK5 w - - 0 23,g6g5
rn1k1br1/1B3np1/p1qppp2/1P6/P6p/R1P1pNPb/4PP1P/1Q2K2R b K - 0 19,c6b7
r1Bqkbnr/pbp1p3/6p1/1p1p1pPp/1n2PP1P/P1PP4/RPQ1K3/1NB3NR b - - 1 18,b4c2
rnb3nr/2qkp2p/N1p3Qb/pp3p2/3pP3/2PP3N/PP3PPP/R1BK1B1R w - - 4 12,g6f5
1r2kr2/p1pp1p1p/b1n4B/8/2p1pPP1/3QP2N/P2bK2P/RN2R2B w - - 0 18,d3e4
r3kr2/p3ppb1/B3n2n/1qpPp1pp/1p4QP/1PB1KP2/P1P3P1/RN4NR b q - 5 22,h6g4
rn3k1r/p2b2p1/4p2p/5pQ1/4P2P/1PPn1P2/8/RNB2KNR b - - 2 18,h6g5
3r3r/qpk1n1b1/5p1p/pBPp2p1/P1PB1P2/4PR1N/Q2P3P/RN1K4 w - - 1 24,b1c3
2bqk1nr/rppnp3/p6b/3p1ppp/1P3P1P/1QPP4/PB2PKP1/RN3BNR b k - 2 14,g5f4
1r1qkb1r/p1p1pppp/2n4n/1p1p3R/1PB3b1/P2NP3/2PP1PP1/RNBQK3 w k - 1 12,c4d5
r2k2nr/2n1p1b1/1p1q2Bp/p1pp4/3PN3/BP4PP/P1P2P2/RN2K2R w KQ - 1 20,e4d6
1nbqk1nr/1rpp4/4pppp/1p3P2/Np2P3/8/PbPPQ1PP/R1B1KBNR b Kk - 1 12,b2a1
rq2n3/2p5/pp1b1rkp/1P3p2/2PP2P1/2Q1PP1P/P6R/RN1K1B2 b - - 1 24,d6h2
1n3k1r/1r3p1p/3pp2b/pppP2p1/1n2PPP1/P1NQ3N/1BP4P/R2K1Bq1 w - - 5 20,a3b4
1rb1kbnr/ppqpp2p/5pp1/1Np4P/1nPP1R2/PP6/4PPP1/R1BQKBN1 b Qk - 2 10,c7d8
r1b1kb1r/1p4p1/8/n1p1p3/1Pq3pn/P1P1P3/3P1P1P/RNB1K1NR w KQkq - 0 19,g1e2
7r/2p2k1p/1pb1p1nR/p3r1P1/N1pPPp2/1P4PN/5P2/1R1QKB2 b - - 0 23,e5e4
r1bqk2r/1ppp1ppp/2n5/5p2/1pB2P2/P1P2N2/R2PK1PP/1NBQ2b1 b kq - 0 11,g1b6
3qk1nr/p1p1p2p/brnp4/2P1b3/Q2P2pp/5P2/PP1BP2R/1R2KBN1 w k - 0 18,d4e5
1r2kbr1/1ppq2n1/2Q1p3/p2B2pp/1P5P/2PpPbP1/PB1PN3/RN1KR3 b - - 0 21,f3e2
r1b1k1nr/p1pp1ppp/1pn5/4p1q1/Pb6/3P4/1PPNPPPP/R1BQKBNR w KQkq - 0 6,c2c3
1n1q1knr/1b1p1pp1/B1p1pb1p/p7/Pp1N3P/1P2PP2/2PP2P1/1RBQK1NR w K - 4 14,a6b7
rnb2br1/p1q1k1p1/3p1n1p/PNp1pp2/1P3PPP/2N5/2PPP3/R1BQKB1R b KQ - 2 14,c7c6
rn2kb1r/p2ppppp/b1p4n/1N1q4/P1P3P1/3P4/1PQ1PP1P/R1B1KBNR w KQkq - 1 9,b5c7
rn1qkbnr/2pb1p2/3pN3/pQ5p/P1PP4/7P/1P2PPP1/RNB1KB1R b KQkq - 0 9,f7e6
r1b1kbnr/p2pq1pp/1pp3p1/P3p3/1n2PP2/3B4/1PPP2PP/RNB1K1NR w KQkq - 0 9,g1f3
rn1q3r/3pp1bp/b1p3kn/1P3pp1/1p1P1P2/N1PQ3N/R3PKPP/2B2BR1 b - - 1 12,h6g4
rnbqkbnr/2ppp1p1/5P1p/1p6/p3P3/3B1P1N/PPPP3P/RNBQK2R b KQkq - 0 7,e7e5
r1b3nr/ppn2k1p/1R2p3/2P3p1/P1PPpPP1/5N1P/2Q5/1qBKbB1R w - - 0 24,f3g5
rn4qr/p2bkpb1/2pN3n/P1PB3p/1P4pP/3p2PR/R2PPP2/2BQK1N1 w - - 0 18,d5h1
rnbqkbr1/p2p1npp/1p1pp3/5p2/5P2/3PP2Q/PPP3PP/R1B1KBNR w KQq - 0 10,e3e4
r1b1kbnr/pppp2p1/B3p2p/5p2/1PP1P3/5q1Q/P2P1PP1/RNB1K1NR b KQkq - 0 9,f3e4
rnb1kb1r/pp1pn3/1q4pp/2P1pp2/P1P5/3P2P1/4PP1P/RNBQKBNR b KQkq - 0 8,b6a5
rnbq1b1r/1ppp1kpp/p3pp2/8/1PP3n1/1Q3P2/P2PP2P/RNB1KBNR w KQ - 0 7,f3g4
1nb1qb1k/r7/2ppp1Qn/2P4p/P5Pp/2N1PPR1/1P1PN1B1/R1B2K2 b - - 1 23,e8g6
r1b1q1nr/1p3p1p/2np2p1/p1pk4/1b2pBPP/1P1P1PKR/P1P1P1B1/RN2Q1N1 w - - 8 14,d3e4
rnbqk2r/pp1ppp1p/5np1/2p5/3P2P1/1P2P2N/P1PN1P1P/R1bQKB1R b KQkq - 1 6,c1b2
5b1r/1q2nk2/rPnp1p2/p1p2ppp/P3N1PP/3PP3/RP3N2/2BbK2R w K - 0 24,e4d6
1nbqkbnr/r1pp1pp1/1p6/pPP1p3/4P2p/B7/P2P1PPP/RN1QKBNR w KQk - 0 7,d2d4
1nb1k2r/5Q1p/1P1pp2n/5p2/2p1PPP1/b1P4N/3B1K1P/RN3R2 b - - 1 20,e8f7
rqb1kbn1/pp1pp1p1/B1r5/2p1Pp1p/2P2P2/P4NPP/1B1P4/RN2K2R b KQ - 4 16,b7a6
rn1qk1nr/pp1b1p1p/2p1p1p1/1P1p4/N4P2/3P3N/PbP1P1PP/R1BQKB1R w KQkq - 0 8,c1b2
r4bnr/1pk1p2p/2p1bpp1/p2Pq3/P2PP3/NP3P2/RB3QPP/4KBNR w - - 1 20,d4e5
5qnr/rppbkpb1/p2p2p1/2P1nQ1p/P7/N5PN/1P1PPP1P/R1B1KB1R w KQ - 5 16,c5d6
r1bk1bnr/pp1p2pp/2n5/2p1pp2/P1P1P3/1Q6/1P1P1PPq/RNBK1BNR w - - 4 8,h1h2
1nb3nr/rppp3p/p2k1p1b/q3p3/1P3PPp/N3B3/P1PPP2R/R1Q1KBN1 w Q - 2 18,b4a5
2b2b1r/1pp1pk1p/r1nq3n/p2p1pP1/PP6/4RPP1/1BPPPKBR/1N1Q2N1 w - - 6 13,b2h8
rn2kb2/pp2q3/3p4/P1p2bp1/1PP1p1Pp/3PP3/3BKPBP/RN4NR b q - 1 22,e4d3
r2qk1nB/pp3p1p/n1pp4/4p1P1/1P1P1b2/2N2N1P/2P1PPB1/Rb1QK2R b KQq - 1 14,d8e7
rn1qk2r/5pp1/3p1b1p/pp6/1Pp2p2/P1PPPN2/1B1N2KP/R2Q1R2 w - - 0 22,e3f4
1nbqkb1r/1p1pn1p1/r1p5/Q3pp2/P1P5/3BPPp1/1P1P3P/RNB1K1NR b KQk - 1 11,a6a5
rnb1kbnr/ppq4p/8/2pppPp1/P6P/RQP1PP2/1P1P4/1NB1KBNR w Kkq - 4 11,e3e4
r1b2bnr/4kp2/pq2pn2/P1pP2Qp/1BP5/3P2P1/R3NP1P/1N2KB1R b K - 0 19,b6b4
1r1q1br1/pb1ppk2/n1p2n1p/1p3Pp1/3PP2P/1PP2P2/P2N4/R1BQKBNR b KQ - 0 12,g5g4
rnbqkbnr/3p2pp/8/1p2pp2/pPPpP3/P5PN/Q2K1P1P/RNB2B1R b kq - 1 10,f5e4
1nbqkbr1/1pp1ppp1/7r/p2p3p/2N5/1PPP1P2/PB1K2PP/RNn1QB1R w - - 6 12,c4e3
rq2kb1r/2p1p2p/1p3p2/p2P1PpP/bPP3Q1/3B4/3P2P1/RNB1K2R w KQ - 0 20,b4b5
1n3bnr/3pp3/1k3ppp/1p5P/3P1PP1/1P6/r1PqPKb1/R1BQ2NR w - - 7 23,d1d2
rn1qk2r/2n2p1p/pB3b2/3ppP1p/bp4P1/P2P4/1Q2P3/RN2KRN1 b Qkq - 3 21,b8d7
r1bqkbr1/p1nn1p2/4pB2/3P2Pp/p1p2P2/NPP4P/4P3/4KBNR b Kq - 1 22,d7f6
rn1qkbnr/pbpppp1p/6p1/Np6/8/1P6/P1PPPPPP/1RBQKBNR w Kkq - 3 6,a5b7
r1Nkn1nr/1p5p/3p2pb/5p2/P2pPP2/3B1NPP/1P3K2/R1B2Q1R w - - 1 22,c8b6
r2qkbnr/p1p1pp2/2n1bQ1p/1p1p4/3PP1pP/PPP5/5PP1/RNB1KBNR b KQkq h3 0 8,g8f6
1nbqk2r/r1p2N2/pp4np/1P1p1p2/3bPpP1/P1N1Q2B/2PP3P/R3K2R w KQ - 1 19,e3d4
4qb1r/2pppk1p/b3r2n/np3PpP/Np5N/P1PK2P1/1B1PBP2/1R1QR3 b - - 0 20,b5a4
1r1qkbn1/3np1pr/pp1p4/5bpp/2p5/1PPPP2R/P1Q2PP1/RNB1K3 b - - 4 23,c4d3
r5nr/p2n1k1p/b2p2pb/2pP1pP1/1q2PP2/PpN2Q1P/6B1/R2K2NR w - - 0 25,a3b4
rn1qkbnr/1pp2ppp/3pp3/p7/8/1P1PK2b/P1PNPPPP/R1BQ1B1R b kq - 1 6,h3f5
1n1q1b2/1b2pk1p/r4nr1/pPPp4/5Pp1/N1PP2PP/2NQ1P2/R1B1KBR1 b - - 6 24,e7e5
1r5r/1p1k3q/p2pbpNn/2pP1P1p/NB2P1pP/6P1/P1n2K2/1Q3B1R w - - 1 26,d5e6
1nr2bnr/ppBk4/1q4pp/1p1p1p2/8/NQ1PpN1b/P1P1PPP1/3RKBR1 w - - 4 18,c7b6
r1b1kbnr/pp1pppp1/8/2p4p/1n5P/NPP2PqN/P2PPKP1/R1BQ1B1R w kq - 5 8,f2g3
rn3bnr/p3p1p1/2kp2bp/2p2pB1/2p1P1QP/P2P2P1/1P3P1R/RN2K1NB w Q - 0 16,e4f5
rn1qk2r/pb1pb1p1/1p3n1p/2p1pp2/NP1P1P1P/4P3/P1PQ2P1/R1B1KBNR w KQkq - 1 9,g1f3
r1bq2n1/1pp1k3/p3B2r/1N2p1pQ/Pb1p4/6PN/1BPP1n1P/R4K1R b - - 3 17,h6h5
1rbk2nr/1p2b2p/2P5/p1pppp2/4PBpP/P1NP4/R1P1P1P1/1Q2KBNR w K - 0 19,f4e5
rn2k1nr/1p1b4/8/4P1pp/pqPB2p1/P3P2N/3P1K1P/R1bQ1B1R w kq - 4 24,a3b4
1r1qkbnr/1ppbp2p/8/p1n2pp1/PP2p1P1/N1P5/3PNPBP/R1BQK2R b KQk - 3 13,c5d3
rnb2b2/p4kpr/p1p4p/8/3Np2P/1P1n2B1/3NPPB1/3K3R w - - 0 25,g2e4
r1b2b1r/1Bp1kp1p/p3p1pn/3q4/2P2PPN/8/PR1PP2P/2BnK2R w K - 0 15,c4d5
rn1qkbnr/p1pp1p1p/b3p3/6p1/p1PP4/4P1P1/1P1K1P1P/RNBQ1BNR b kq - 0 6,a6b7
r5nr/p1ppk1p1/b1n1p2p/1p6/N5N1/PP6/2P2PPP/bRBQKBR1 w - - 14 24,b1a1
rnb2b1r/pp1pk1pp/8/qBp1pP2/2Q5/2P2P2/PP1P2PP/RNB2KNR b - - 2 10,a7a6
1rbqkbnr/p1npp1p1/1p5p/2p2p2/2PP1P1P/1PN2K2/P3P1PR/R1BQ1BN1 b - - 2 10,c5d4
rn1qkb1r/1pp1pp2/p2P3p/6p1/PPPP1nb1/5NP1/3N3P/R1B1KBR1 w Qkq - 3 15,g3f4
rn1qkbnr/ppp1pp2/B2P3p/6p1/4bPQ1/P1N5/1PPP1KPP/RNB4R b kq - 2 11,g8f6
1rbq1b2/p1pkpp2/np1pN1pr/4n3/2PP3p/3Q1PP1/PP1NP2P/R1B1KBR1 w Q - 0 14,e6f8
3q1bkr/2p1p2n/2n1rBp1/1p1P3p/Pp2bQ1P/1R2PN2/3KNPPR/5B2 b - - 1 25,d8d5
1rb3r1/pp1kppbp/5n2/1q2P1p1/P1pP1PP1/R1N2K2/1P4BP/n1B3NR w - - 1 18,a4b5
1nbqkb1r/r7/ppp2n1p/5Pp1/N2P1P1P/PB2p1P1/RPP3K1/2BQ2NR w k g6 0 22,h4g5
rnbqkb1r/2p3pp/p4n2/1p1p1p2/1P2N3/N4P2/P1PP2PP/R1BQKB1R b KQkq - 2 8,f5e4
r1bq1knr/pp6/n1ppp2p/5Pp1/P4PP1/1P5B/2PP1b1P/RNBQK1NR w - - 3 12,e1f2
rn2k1nr/1pp1bpp1/B3q3/P2pp2p/b7/R3PN1P/1BPPNPPR/3QK3 b kq - 2 15,e7a3
rnbq1bnr/2ppp1pp/pp3k2/5p2/2Q5/N1P1P1P1/PP1P1P1P/R1B1KBNR w KQ - 4 7,f1g2
rnbq1bn1/4pkp1/2p2p2/1p1p4/P7/3PP1Nr/RPP2PPP/1NB1KB1R w K - 2 11,g2h3
1nb1kB1r/1ppp3p/rp2p1p1/5p2/P1n2b1q/5N2/3P1PP1/RN1QKBR1 w Qk - 0 15,f3h4
r1bqk1nr/3p4/p1p2p1p/4p1p1/RpP1PP2/3P3N/1bP1K1PP/1NBQ1BR1 b kq - 1 15,b2d4
1rb4r/p3p2p/np2k3/1Pp5/4ppn1/N1PP3P/P3BPP1/R1BK2NR w - - 0 23,h3g4
rn1qk1n1/pbppp1r1/6Pb/1p5p/3P1P2/P2Q4/RPP1P2P/1NB1KBNR w Kq - 3 9,g1f3
r2qkbnr/2p1p3/p1n2p2/1P1p2p1/1P1P1P1p/1R5b/2P1P1PP/1NBQKBNR b Kkq - 0 11,c6d4
rn2k3/ppp2p1p/3B1nrb/1b2p1p1/4B3/1P2PPqN/R1PP3P/1N1QK1R1 w q - 0 16,h2g3
rnbq1b1r/ppppkp2/4pnpp/8/2PP2P1/4PP2/PP1QK2P/RNB2BNR b - - 1 8,d7d5
r1b3nr/p2p1kb1/n6q/1p1NPP2/Pp1PB2p/1R2B3/2P4P/3QK2R b K - 0 23,h6h5
rn1qkb1r/1pp1pp2/p4n1p/3p1bp1/8/3PPNPP/PPP2PR1/RNBQKB2 b Qkq - 0 7,f5h3
rnbk1b1r/1p1p1ppp/p4n2/2p1p3/P1P1P1P1/R4P2/1PQq3P/1NB1KBNR w K - 0 9,b1d2
rnb1k1n1/p1qp1pb1/6pr/1pp2p1B/2P4p/NP2P3/PB1P2PP/2RQK1NR w Kq - 0 12,a3b5
r2qkb1r/p3n1p1/B1b5/1pp1p1Pp/1P1pP1P1/3P2R1/n1PB1P2/RN1QK3 w Qkq - 3 16,a1a2
1r3br1/p1N1k3/1p2p1p1/1bpp3p/P2P1PP1/1P2KpP1/2PB2B1/R3QR2 w - - 1 23,a4b5
r1bq2n1/1pppp1r1/2n1kb1p/p1P2pp1/3P1QP1/P6P/1P1KPP2/RNB2BNR b - - 4 13,g5f4
1nbqk2r/r2p1p2/2p4b/pp2pnN1/1P1B2pp/N5P1/P1PPPKBP/3RQ1R1 w k - 8 19,d4a7
r1b1k2r/1p3pb1/2pp1B2/p1Pn1N1p/PqB1PPp1/RP6/4K1PP/4Q2R b kq f3 0 25,g7f6
r1bk1bnr/4pp2/ppnp4/B1p3p1/P6p/1P1P1N2/2PNPPPP/R2QKBR1 w Q - 0 11,a5c3
2b4r/N2k2bp/1pp1pn2/3p1pp1/Pn1P3q/1p2PPPP/1BP1B2R/R3K1N1 b - - 3 21,h4g3
1rbk1b1r/1p1pp1pp/2n3Qn/p4P2/7N/q2P1P2/PP2K1PP/R1B2BNR w - - 1 12,g6c6
r1b1kbnr/pppp4/4pqp1/P4p2/nP2PQ2/N2PB1Pp/2P2P1P/R3KBNR w KQkq - 2 12,e4e5
rn2kr2/p2bnp1p/1p6/3qQ1pP/P3p1R1/Rp2PP1B/1PP1K3/2B5 w - - 2 24,e5d5
rn1k1b1r/pbpp1ppp/1p3n2/4P3/N1N1P3/3P1Q2/P1PK2PP/R1B2BR1 b - - 0 16,f6g8
rn1k3r/1b2np1P/1p1p2p1/PB1qP3/7p/R1P4N/3P3P/1NBQK2R w K - 1 22,h1f1
rnb4r/p2k4/1q2p2n/1pbp1ppB/Pp2Q3/3PP1P1/2P2P1P/RNB1K1NR w - - 1 16,e4e5
r3r3/pbp2k2/P1p1p1p1/1p1np3/6p1/2bP3P/R1B2P2/1N1K2NR b - - 1 24,b7c8
1n1q1knr/4b3/3pQ2p/2p2p2/r1b1P3/5KPP/pPPP1P2/RNB3NR b - - 1 19,c4e6
2r1kb2/p3pp1r/1p2nPpp/1bppP2n/2P4P/PP2K3/3NP1P1/R1B1QBNR b - - 0 21,e7f6
r4bnr/ppknp2p/2p2pp1/1q1p4/2P3bP/P3PP2/RPQPB2R/1NB2KN1 w - - 3 13,c4b5
2b1k1r1/r4p1p/pppq1n1b/2n5/PP1Np1Pp/B1N1P2B/2PP4/1RQ1K2R b - - 1 23,d6g3
rn2qb1r/ppp1pk2/5pp1/3p3p/NQ1P4/P5nN/1PP1PP1P/1R2KB1R b - - 1 12,g3h1
r1k3nr/p3bp1p/b1pBp3/1pPpP1P1/P2P4/8/P3K1PP/RN1Q1BNR w - - 3 17,a4b5
r2qkb2/2p1n3/1p1pp1p1/5p1n/pP1PPP2/P6R/R1P3b1/1NBKQ1N1 b - - 7 22,g2h3
r2qkb1r/1p1bppp1/3p3p/p1p1nn2/P3PPP1/2NP1N2/1PP2K1P/R1B1QB1R b kq - 1 10,e5f3
r1b2b2/2qnk1pr/1pppp2n/p5Np/Q1PP2PP/N2KBp2/PP2PP2/3R1B1R b - - 1 17,h7h8
1rbqkbr1/1p1npppp/p2B4/2pp4/3P4/P3KP1N/RPPQP2P/1N3B1R b - - 1 13,d7b6
rnb1kbnr/1ppp1pp1/5q1p/p7/2PPP3/1P2P3/P5PP/RNBQKBNR b KQkq - 0 6,f6h4
r2qkbn1/pppb3r/3pp2p/1P2npQ1/2P1P3/N7/P2P1PPP/1RB1KBNR b Kq - 0 10,h6g5
r2k1bnr/p1p1p3/n7/1P3bp1/1P6/1Q3PP1/Pq1PP1BP/RN1K3R w - - 1 20,b3b2
r2qkbr1/pbnp2pp/5p2/1p2p2N/1Pp3P1/2PPPN2/PB2Qn1P/R3KBR1 b q - 1 15,f2d3
r1bq1b1r/pp2k1pp/2p1pp1n/P2p2B1/P2P4/2N5/R1P1PPPP/3QKBNR w K - 0 11,g5h6
1nbqkbnr/rpp1p3/p5pp/3p1pN1/7P/NQP5/PP1PPPPR/R1B1KB2 b Qk - 1 8,h6g5
1nbqkb1r/rpppp1p1/p4n2/5p1p/8/2PP2PP/PP1BPP1R/RN1QKBN1 b Qk - 0 6,b8c6
rnbqkbnr/p1pppp2/6pp/1p6/1P1B3P/P4P2/2PPP1P1/RN1QKBNR b KQkq - 4 6,g8f6
r2qkb1r/pb1ppppp/2n5/2pn4/1pPP4/3Q2PN/PP2PP1P/RNB1KB1R w KQkq - 1 8,c4d5
r1b1kbnr/pp1pppp1/n1p5/7p/1P1P4/2P1qPP1/P3P2P/RNBQKBNR w KQkq - 1 6,c1e3
2r1k2r/2pn1pq1/5b1n/P6p/2PP2pP/3p1Pp1/P2B2KR/RN6 w - - 0 22,f3f4
3rkbnr/p2bp1p1/BP1q4/2p1n2p/1Q1pPp1P/N1P2N2/P2P1PR1/R1B2K2 b k - 5 24,c5b4
rnb2knr/pp1p1p2/2p2q2/6pp/1P2p3/1P1P4/P1NBPPPP/1R1QKBNR b K - 0 10,d7d5
r1bqkbn1/pp2p2r/n1p4p/3p1pP1/2PP1p2/1Q3P2/PP2PN1P/RN2KB1R b KQ - 3 13,h6g5
rnb1kbnr/1pp2p1p/3p1q2/p3p1p1/3P1P2/N3Q2P/PPP1PKP1/R1B2BNR w kq - 0 9,d4e5
r1b1kb1r/pp3p2/nqppp3/P2n3p/2P1NPpP/R3P3/1P1P2P1/2BQKBNR b Kkq - 1 13,b6b4
1rb1kbn1/2q1p3/3p1p1r/1p2n1BP/P1N4P/1p1P1Q1N/2P1PP2/R3KB1R b - - 0 19,e5f3
r1b1kbnr/pp2p2p/n1pq2p1/3pNp2/3P4/5N2/PPPQPPPP/R1B1KBR1 b Qkq - 1 8,g8f6
rnbqkbnr/1p1pp3/p5pp/2p2p2/5PP1/2N4P/PPPPP2R/R1BQKBN1 w Qkq - 0 6,g4f5
r1b2bn1/5kpr/B4p1p/2pPp3/N1P5/P5P1/R2P3P/2BQK1N1 b - - 0 21,a8a6
rnbqk1nr/4b1pp/pp1p4/2p1p3/2N2p1P/4PP1R/PPPP2P1/R1BQKBN1 w Qkq - 0 9,d2d4
r3kBnr/p2n3p/2p1p3/3p3q/P1pPP1pP/1PP2NP1/4KP2/R6R b - - 0 24,g4f3
r1B2knr/p1n2p2/1p1p3p/4p3/P2pP3/BP4P1/R1PP1P1P/3Q1K1R b - - 0 16,c7e8
Qnbq1knr/3pb1pp/1p6/2p1p2B/1p2pP1N/2PP2PP/7R/1rB1K3 w - - 0 22,a8d5
rnbqk1nr/pp1p1pp1/7p/4P3/Pbp1N3/8/RPPPPKPP/2B1QBNR w kq - 4 9,e4d6
rn4n1/6br/p3k1Pp/1ppbPp2/qP6/P1PP2P1/1R1BPRB1/1N1Q1K2 w - - 0 21,g2d5
rnbq1bnr/1pp1kppp/4p3/p2p4/1P2P2P/P2B4/1BPP1PP1/RN1QK1NR b KQ - 1 6,d5e4
r1b1kb1r/p2ppp1p/1p4pn/q1p1n1N1/4PP1P/1P4P1/P1PPQ3/RNB1KB1R b KQkq - 0 8,e5c6
rnbq2nr/1ppp1k1p/p5p1/4p3/1P2P3/b4N2/P1PP1PPP/RNB1KB1R w KQ - 0 6,f3e5
2bNkb1r/1r1pppp1/p4n2/2p4p/6nP/BPpPQ1PR/P3NP2/1R2K3 b - - 1 24,g4e3
2q1k1nr/pr1p4/npp2ppp/1BP5/P3pPPP/N4P2/P1QP1K2/R1B3NR w - - 0 18,b5a6
rnb1kb1r/1p2pp1p/p4np1/2pP4/5P2/1P1NP3/P1PB2PP/RN1KR3 w kq - 2 15,d2c3
r2k4/2pb1B2/p1nb1p1r/1p4Pp/1P1p4/N3P1B1/P1PP1PP1/2KR2R1 w - - 3 25,g5h6
rn1qkbnr/p1p5/b2p4/1p2pppp/4PPP1/PPN4P/2PPN3/R1BQKB1R b KQkq - 0 8,g5f4
rnbq2nr/ppppk2p/4pp1b/8/P2P1pP1/1Q6/1PP1P2P/RNB1KBNR w KQ - 2 8,h2h4
r1bq1b2/3k1pr1/4p3/1p4pp/1B2P1n1/1PPP2PB/R2N3P/4K1NR w - - 0 24,a2a8
1nb1qbr1/2p1ppp1/rk1p4/pp3P1p/2PP2n1/NQ2B3/PP1KP2P/3R1BNR w - - 4 13,c4b5
1r2kr2/p1qb1ppp/n2bp2B/1Qp5/1PPp4/N2P1N1P/P2K1PP1/3R1B1R w - - 0 20,b5a6
2r1kb1r/1p2q1pn/n7/p2Q1b1p/P1Pp1P2/2PBB1PP/3NK3/R6R b k - 1 23,e7e3
r1bk1b1r/pppq3p/3p1ppn/4p3/3n1P2/1P6/P1PPP1PP/BNRQKBNR w K - 1 10,e2e3
rn4n1/1p2bkpr/p1P1pp2/7p/7P/N2P3R/P1P1KBq1/RQ3BN1 w - - 0 21,f1g2
rn1k4/ppp2q2/2P2p2/1N1pp2r/P2b1Pp1/3P2P1/3BP3/1R3KNR w - - 0 23,c6b7
2r1kb1r/p3pp2/Bp4p1/P2Nq2b/1pPPPPnp/Q4K1P/1B4P1/3R2NR b - - 0 22,e5e4
2r2b1r/p1pq3p/1pn2pk1/1b1pp1B1/1PPP4/P5nB/4PK2/RNQ4R w - - 4 26,h3d7
rnq3k1/1pp3pr/b1Bp1b2/4p2p/4Pp2/N1PP3P/1B3PPR/R2K2N1 b - - 1 18,b8c6
3qk2r/rpp1ppbp/p2pN3/3nP1p1/b5P1/N7/PPQP1P1P/1RB1KB1R b Kk - 0 15,a4c2
2b1kbnr/1rp3p1/np2p2p/p2P2q1/P7/4pPP1/RPP1P2P/1N2KB1R w Kk - 0 17,f1g2
2rqkb1r/2p1p2p/1pPn1p2/p7/P1bPP1pP/3n4/1P1N1PPR/1RBK1BN1 b k - 6 24,d6e4
r1bq2nr/p2kpp1p/1p3b2/n1p1P1p1/P2P2PP/N1P5/2R1pPB1/2BQK2R b - - 0 20,e2d1r
rnbq4/1pppk1b1/p4n1r/2P1p2p/7P/P2PBN2/1P2PPP1/RN1K1B1R b - - 0 14,d7d5
r1bqk3/p1ppnp2/n2bp1r1/6pp/P1N3PP/4PP2/1PPP4/R1BQKBNR b KQq - 0 12,d6g3
1nb1k1r1/r1pp1qp1/4p2p/ppP3P1/P1P1np1P/4P2N/3PQP2/RNBK1B1R b - - 0 16,f4f3
